number,title,abstract,applicant,publicNumber,publicDate,applicationNumber,applicationDate,IPCmain,IPC
2513,The Method Of Calculating Missile-Masking Area And The Operational Method Using That,"The Present Invention Relates To A Method For Calculating A Missile Masking Area,  Comprising The Steps Of :  Loading A Model Of The Fuselage Of A Fighter Aircraft;  Extracting The Position Of An Armed Seeker Applied To The Fuselage And Setting The Same As A Reference Position;  Calculating A Masking Area Which Is A Visual Field Blocking Area By The Fuselage,  At The Reference Position;  Storing Information On The Masking Area. According To The Method For Calculating A Missile Masking,  The Problem Of Visual Field Blocking Of A Missile Seeker Which Can Occur During An Actual Weapon Operation Stage Can Be Determined In Advance By Calculating The Masking Area Using Non-Real-Time Simulation Modeling,  And Data For Selecting Another Missile Is Provided If There Is A Problem. Therefore,  It Is Possible To Have An Advantage In An Urgent Air-To-Air Combat.","Korea Aerospace Industry Co., Ltd",KR101838679B1,2018/3/14 0:00,KR1020160086021,2016/7/7 0:00,F42B15/01,F42B15/01; F41G7/00; F41G9/00; F42B15/10
2519,Method Of Landing Space Rocket During Launch Of Carrier Aircraft And Aircraft Launching Apparatus,"Field :  Aviation.Substance :  Group Of Inventions Relates To Aerospace Engineering,  Particularly To A Method Of Landing Space Rocket And To Aircraft Rocket Launcher. Method Of Landing Space Rocket From Carrier Aircraft Consists In Starting From Transporter-Launcher Container And Ejection Thereof Under Action Of Piston Force Created By Excess Gas Pressure In A Sealed Cavity. Sealed Cavity Is Formed Between Bottom Of Container And Rigid Tray Fixed On Tail Part Of Rocket. Aircraft Launcher Comprises Fixed In Cargo Compartment Of Carrier Aircraft Transporter-Launcher Container With Bottom And Open End,  Energy Rocket Ejection Device,  Support-Drive Belts Device For Holding Rocket In Container And Sealed Tray. Container Is Oriented In Aircraft Tail And Is Equipped With A Sealing Device. Tray Is Equipped With Power Flange Extending Beyond Middle Of Rocket And Connected With Retainers Thereof In Container.Effect :  Method Of Launching Rocket From Aircraft Carrier.4 Cl,  8 Dwg","Aktsionernoe obshshestvo ""Gosudarstvennyj raketnyj tsentr imeni akademika V P Makeeva""",RU2595742C1,2016/8/27 0:00,RU2015115454,2015/4/23 0:00,F41F3/06,F41F3/06
2520,Combat Robots Set,"Field :  Weapons And Ammunition.Substance :  Invention Refers To A Combat Robot And Is Designed To Destroy And Unmask The Enemy On The Battlefield. The Combat Robot Consists Of A Mobile Unit Controlled By A Remote Control Panel And Contains Two High-Voltage Dc Motors,  Contains A Submachine Gun Which Is Always Directed Forward And Has A Spring Vertical Suspension Permanently Directed Horizontally,  Which Can Be Deflected Upwards Or Sideways From The Submachine Gun Recoil Action,  And/Or Has A Flamethrower.Effect :  Ability To Detect The Enemy And Destroy Him.7 Cl,  3 Dwg",Staroverov Nikolaj Evgenevich,RU2618352C1,2017/5/3 0:00,RU2015149596,2015/11/18 0:00,F41A23/34,F41A23/34; F41H7/00
2546,"Monitoring System, Management Device, Monitoring Method, And Management Device Control Program","[Problem] To Provide A Monitoring System, A Management Device, A Monitoring Method, And A Management Device Control Program By Which An Intrusion Drone Can Be Found And Continuously Monitored Even When The Intrusion Drone Cannot Be Visually Spotted. [Solution] A Monitoring System 100 Comprises: A Plurality Of Cameras 150A, Etc. Which Are Separately Disposed And Are Capable Of Photographing A Common Region; A Management Device 300 Which Receives Images Acquired By Photographing Performed By The Cameras 150A, Etc.; And An Unmanned Flying Body 1 Which Is Communicable With The Management Device 300. The Management Device 300 Comprises: A First Recognition Means For Recognizing The Object Being Monitored In The Images Received From The Cameras 150A, Etc., By Using Artificial Intelligence Formed With A Neural Network; A Position Calculation Means For Calculating The Position Of The Object Being Monitored, On The Basis Of The Positions Of The Cameras 150A, Etc., And The Direction Of The Object Being Monitored With Respect To Each Of The Optical Axes Of The Cameras 150A, Etc.; And A Position Transmission Means For Transmitting Position Information Indicting The Position Of The Object Being Monitored To The Unmanned Flying Body 1. The Unmanned Flying Body 1 Comprises: A Flying Means For Making A Flight To The Position Indicated By The Position Information When The Position Information Is Received From The Management Device 300; A Photographing Means For Obtaining A Photographed Image By Photographing The Outside; A Second Recognition Means For Recognizing The Object Being Monitored In The Photographed Image By Using Artificial Intelligence Formed With A Neural Network; And A Lock-On Means For Continuously Photographing The Object Being Monitored When The Object Being Monitored Is Recognized.",EAMS LAB CO LTD; IZU Tomoyuki; EAMS ROBOTICS CO LTD,WO2020070897A1,2020/4/9 0:00,WOJP18037486,2018/10/5 0:00,F41J11/02,F41J11/02;B64C13/20;B64C39/02;B64D47/08;G06T7/00;G08B25/00;H04N7/18
2552,Transport Device For Ammunition,"A Consists Of An Outer (1 Fig.) Small Arms Ammunition,  Transportation Apparatus,  [...] /Or Lockable First Box And Close (1) With A Plurality Of Similar,  Smaller,  Inner Steel Tanks (20),  Which Receive The Ammunition To Be Transported (50,  51).  A On All Sides By Spacers [...] Space Forms (32 ;  40,  41) Fixed Air Gaps (A).  These Transport Device Meets The Relevant International Conditions For Transport In Case Of Fire Ammunition [...] Transport Aircraft By Means Of Small Quantities.",RUAG AMMOTEC AG,AT513787A2,2014/7/15 0:00,AT9282013,2013/12/3 0:00,F42B39/00,F42B39/00; F41A9/79; F41A9/84; F42B39/26; F42B39/28
2599,Control Method Of A Sensor On A Combat Aircraft,,SAAB AB,BRPI1418686A2,2017/6/20 0:00,BR112014018686,2012/2/8 0:00,F41H11/02,F41H11/02; F41H13/00; G01S13/66; G01S13/88
2747,Explosion-Proof Board For Fighter'S Mobile Equipment And Fighter'S Mobile Equipment,"The Explosion-Proof Plate For Fighter Aircraft'S Mobile Equipment Provided By The Present Invention Is Used To Form The Shell Of The Fighter Aircraft'S Mobile Equipment, And Includes: A High Molecular Polyethylene Board And A Silicon Carbide Board That Are Attached To Each Other, And The High Molecular Polyethylene Board And The Silicon Carbide Board Pass Through The Foam Layer Between The Two Is Connected. Compared With The Explosion-Proof Board Provided By The Background Technology, The Composite Board Formed By Polymer Polyethylene Board And Silicon Carbide Has High Hardness, Which Can Improve The Explosion-Proof Performance Of Fighter Aircraft. At The Same Time, The Density Of Polymer Polyethylene Board And Silicon Carbide Board Is Lower Than That Of Steel And Iron. , Which Makes The Fighter'S Mobile Equipment Lighter, And Solves The Problem Of Heavy Fighter'S Mobile Equipment And Poor Flexibility. The Invention Also Provides A Fighter Aircraft Mobile Equipment.",Zhou Qidi,CN104215127A,2014/12/17 0:00,CN201310211121.6,2013/5/31 0:00,F41H5/04,F41H5/04; F41H5/00
2748,Explosion-Proof Board For Fighter'S Mobile Equipment And Fighter'S Mobile Equipment,"The Explosion-Proof Plate For Fighter Aircraft'S Mobile Equipment Provided By The Present Invention Is Used To Form The Shell Of Fighter Aircraft'S Mobile Equipment. The Boards Are Connected By A Foam Layer Between The Two. Compared With The Explosion-Proof Board Provided By The Background Technology, The Composite Board Formed By The Aramid Fiber Polymer Board And The Silicon Carbide Board Has High Hardness, Which Can Improve The Explosion-Proof Performance Of The Fighter Aircraft. At The Same Time, The Density Of The Aramid Fiber Polymer Board And The Silicon Carbide Board Is Relative To That Of Steel. , The Low Iron Makes The Fighter'S Mobile Equipment Lighter, Which Can Solve The Problem Of Heavy Fighter'S Mobile Equipment And Poor Flexibility. The Invention Also Provides A Fighter Aircraft Mobile Equipment.",Zhou Qidi,CN104215128A,2014/12/17 0:00,CN201310211132.4,2013/5/31 0:00,F41H5/04,F41H5/04
2749,Explosion-Proof Board For Fighter'S Mobile Equipment And Fighter'S Mobile Equipment,"The Explosion-Proof Plate For Fighter Aircraft'S Mobile Equipment Provided By The Present Invention Is Used To Form The Shell Of Fighter Aircraft'S Mobile Equipment. It Includes: A Carbon Fiber Polymer Plate And A Silicon Carbide Plate That Are Attached To Each Other, And The Carbon Fiber Polymer Plate And The Silicon Carbide Plate Pass Through The Two The Foamed Layers Between Are Connected. Compared With The Explosion-Proof Board Provided By The Background Technology, The Composite Board Formed By Carbon Fiber Polymer Board And Silicon Carbide Has High Hardness, Which Can Improve The Explosion-Proof Performance Of Fighter Aircraft. At The Same Time, The Density Of Carbon Fiber Polymer Board And Silicon Carbide Board Is Lower Than That Of Steel And Iron. This Makes The Fighter'S Mobile Equipment Lighter, And Can Solve The Problem Of Heavy Fighter'S Mobile Equipment And Poor Flexibility. The Invention Also Provides A Fighter Aircraft Mobile Equipment.",Zhou Qidi,CN104215129A,2014/12/17 0:00,CN201310211152.1,2013/5/31 0:00,F41H5/04,F41H5/04
2862,Fog Bomb,A Type Of Fog Bomb That Sprays Mist Paint On The Aircraft Carrier And Carrier-Based Aircraft After The Explosion. It Is Attached To The Observation Window To Lose Its Observation Ability. The Aircraft Carrier Cannot Be Commanded. The Carrier-Based Aircraft Cannot Take Off And Land. The Paint Attached To The Stealth Aircraft After Take-Off Contains Metal Particles That Reflect Radar Waves Lose Their Stealth Ability. The Aircraft Carrier Formation Loses Its Air Superiority And Becomes A Passive Target.,Liu Yongqiang,CN105716476A,2016/6/29 0:00,CN201410715939.6,2014/12/2 0:00,F42B12/48,F42B12/48; F42B12/46
2922,A Missile Warfare System Based On Individual Combat Vehicles,"The Invention Relates To A Weapon System, In Particular To A Weapon System That Uses A Special Individual Combat Vehicle Carrying Multiple Missiles To Carry Out Long-Distance Missile Strangling Dozens Of Kilometers Away. It Mainly Includes Individual Combat Vehicles, Carrier Vehicles, Command Vehicles, Missile Ammunition Supplement Vehicles, Battery And Rechargeable Generator Sets, Miniature Remote Reconnaissance Aircraft, Remote Control Helicopters And Their Remote Control Devices. Eventually, The Land Warfare Will Be Upgraded To Modern Iii Missile Warfare.",Gao wengbin,CN106595393B,2018/4/24 0:00,CN201610875393.X,2016/10/8 0:00,F41H13/00,F41H13/00
2972,A Mobile Multi-Point Arrangement Blasting Remote Control Vehicle Used In Dangerous Environment,"The Invention Provides A Mobile Multi-Point Arrangement Blasting Remote Control Vehicle For Dangerous Environments, Which Is Composed Of A Supporting Frame, A Radio Communication Module, A Vertical Roller Mechanism, An Explosive Carrier, A Rotating Baffle Mechanism, And A Carrier Replacement Mechanism (Two Sets Of Symmetrical Arrangement), The Carrier Output Mechanism, Power Mechanism And Other Auxiliary Parts Are Composed. The Main Function Of The Remote Control Car Of The Present Invention Is To Receive The Remote Control Signal Of The Blaster, Enter The Target Building Under The Control Of The Blaster, And Complete The Placement Of Explosives At A Designated Position In The Building.",Harbin Engineering University,CN107063012A,2017/8/18 0:00,CN201710330005.4,2017/5/11 0:00,F42D1/00,F42D1/00; F42D3/02; F42D5/00
2998,An Anti-Uav System Based On Sound Waves,"The Invention Discloses An Anti-Uav System Based On Sound Waves. The Present Invention First Finds The Position Information Of The Incoming Drone Through The Positioning And Tracking Device And Calculates The Aiming Position Deviation In Real Time, And Transmits It To The Control And Display Device In Real Time. The Control And Display Device Forwards The Aiming Position Deviation To The Sonic Attack Device In Real Time The Servo Module Is Designed To Drive The Sonic Attack Device To Dynamically Aim At The Target Drone In Real Time. When The Target Drone Enters The Early Warning Range, The Control And Display Device Will Display Its Movement Trajectory In Real Time. When The Target Drone Enters The Attack Range, The Sonic The Attack Device Sends An Attack Command To Send A Sound Wave Attack Signal To The Target Drone, Causing The Drone To Resonate And Fall. The Invention Realizes The Method Of Hardly Destroying The Drone In Ordinary And Special Occasions By Emitting Sound Waves That Resonate With The Components Of The Drone, So As To Not Only Effectively Strike The Drone Under Ordinary Circumstances, But Also Effectively Counterattack The Drone Under Special Circumstances. The Goal Of.",University of Electronic Science and technology,CN107339914B,2018/10/16 0:00,CN201710426880.2,2017/6/8 0:00,F41H11/02,F41H11/02; F41H13/00
3153,Mobile Modular Uav Countermeasure System,"In The Mobile Modular Uav Countermeasure System Of The Present Invention, The Uav Detection And Early Warning Module Detects Whether There Is A Uav In The First Set Range Through Radar Detection Technology, And Sends The Detection Result To The On-Site Main Control Module Of The Mobile Station; The On-Site Main Control Module Of The Mobile Station Calls The Uav Photoelectric Tracking Module To Track And Locate The Detected Uav When The Detection Result Is That There Is A Uav Detection Result; The On-Site Main Control Module Of The Mobile Station Receives The Uav Photoelectric Tracking Module The Incoming Drone Tracking And Positioning Information, When It Is Determined That The Current Drone Position Is Within The Second Set Range, The Drone Directional Processing Module Is Called To Suppress The Drone Signal; The On-Site Main Control Module Of The Mobile Station Will Receive The Detected Detection Results, Drone Tracking And Positioning Information And Suppression Results Are Transmitted To The Remote Monitoring Center Through The 4G/Wan Network Connection Module; The Remote Monitoring Center Issues Specific Suppression Instructions And Basic Parameters Of The Front-End Functional Modules To The Mobile Station On-Site Main Control Module Setting.",Shanghai Security Service Corporation,CN108507415A,2018/9/7 0:00,CN201810172272.8,2018/3/1 0:00,F41H11/02,F41H11/02
3234,Method And System For Portable Wireless Fire Control Equipment To Realize Rapid Equipment Control Of Space-Based Weapons,"The Invention Discloses A Method And A System For Realizing Rapid Equipment Control Of An Air-Based Weapon By A Portable Wireless Fire Control Device. The Method Relates To A Portable Wireless Fire Control Device And An Air-Based Weapon. Among Them, Portable Wireless Fire Control Equipment Includes Wireless Communication Modules, Display Screens, Buttons, Etc. In The Method, The Weapon And The Carrier Transmit Information Through The Wireless Communication Module. The Information Includes The Weapon Status And Related Instructions. The Display Screen Can Display The Weapon Status, Fire Control Information, Etc., And The Pilot Sends Instructions To The Weapon Through The Button Control. Activate A Series Of Operations Such As Thermal Battery And Fuze Control. The Invention Can Adapt The Weapon To Mount Different Carrier Aircraft Without Any Modification Of The Carrier Aircraft, Greatly Improve The Compatibility Of The Weapon And The Carrier Aircraft, Without Modification Cost, And Strong Operability. The Invention Has Low Requirements On The Type Of The Carrier Aircraft, Simple Operation, Can Quickly Realize The Equipment Use Of The Weapon, Improves The Adaptability Of The Weapon To The Carrier Aircraft, And Broadens The Market Application Of The Weapon.","Beijing Aerospace Feiteng Equipment Technology Co., Ltd",CN108955397B,2021/3/2 0:00,CN201810807124.9,2018/7/18 0:00,F41H13/00,F41H13/00
3298,A Method To Prevent Aircraft Carrier Carrier Aircraft From Taking Off And Landing,"A Method For Preventing The Take-Off And Landing Of Aircraft Carrier Aircraft, Which Is Characterized By Loading A Certain Number Of Hollow Square Pyramid Shell Objects 3 And A Certain Number Of Colloidal Bombs In The Air-Adhesive Glue Mixture 2 Inside The Missile 7. Each Four-Sided Pyramid Shell Object 3 Has A Central Hole 9 On Each Of The Four Faces; The Gel Bomb 7 Points To The Take-Off Area 1, The Parking Area 5 And The Landing Area 8 Of The Aircraft Carrier Deck And Then Guides The Explosion, Collision And Explosion. The Square Pyramid Shell Object 3 And The Adhesive Mixture 2 Loaded On It Are Quickly Splashed, Covered, Penetrated, And Solidified On The Aircraft Carrier Deck, So That The Surface Of The Aircraft Carrier¡¯S Deck Is Adhered To The Square Pyramid Shell Object 3, Making The Ship On The Aircraft Carrier Deck The Tires Of The Carrier 4 And The Aircraft Carrier Deck Are Bonded By The Adhesive Glue Mixture 2, Making It Impossible For The Carrier Aircraft 4 To Land Smoothly On The Aircraft Carrier Deck After Take-Off, Making The Carrier Aircraft 4 On The Aircraft Carrier Deck Unable To Take Off, Causing The Steam To Eject. , Electromagnetic Ejection And Air Deflector And Other Aircraft Carrier Deck Functional Facilities Failed.",Lu Quansheng,CN109253668A,2019/1/22 0:00,CN201811311212.6,2018/11/6 0:00,F42B12/46,F42B12/46
3342,An Automated Military Unmanned Aerial Vehicle With High Work Efficiency For Mine Clearance,"The Invention Relates To An Automated Military Unmanned Aerial Vehicle With High Work Efficiency For Mine Clearance, Which Includes A Main Body, An Explosive Box, A Plane Moving Mechanism And A Metal Detector. The Explosive Box Is Provided With A Drug Injection Mechanism, And The Drug Injection Mechanism Includes A Storage Tube And A Reset Tube , Connecting Tube, Driving Tube And Dosing Tube, The Storage Tube Is Equipped With Several Explosives, The Reset Tube Is Equipped With A Spring And A Reset Block, The Connecting Tube Is Equipped With A Push Block, And The Driving Tube Is Equipped With A Driving Unit. The Plane Moving Mechanism Includes A Translation Assembly, A Conveyor Belt, With Movable Blocks And Two Sliding Units, The Highly Efficient Automated Military Drone Used For Mine Clearance Drives The Metal Detector To Move In A Plane Through A Plane Moving Mechanism, Thereby Speeding Up The Detection Speed. Not Only That, The Use Of The Drug Delivery Mechanism In The Explosive Box It Is Possible To Drop Explosives One By One, And Then Fly Out Of The Minefield For Detonation To Complete The Mine Clearance. Since The Drone Does Not Need To Return To Perform The Manipulator Replacement Operation, The Efficiency And Speed Of Mine Clearance Are Greatly Improved.","Jiangsu Huaxia Intellectual Property Service Co., Ltd",CN109539889A,2019/3/29 0:00,CN201710867987.0,2017/9/22 0:00,F41H11/136,F41H11/136;B64C27/08;B64D1/06
3357,Unmanned Aerial Vehicle Flexible Capture System And Use Method,"The Invention Relates To An Unmanned Aerial Vehicle Flexible Capture System. The Tail Of A Launching Cylinder Is Provided With A Central Hole, A Pull-Off Rod Passes Through The Central Hole From The Rear End Of The Launching Cylinder, And The Pull-Off Rod And The Launching Cylinder Are Sealed By A Sealing Gasket. Pass Through The Launch Tube And Connect And Fix The Tail Rod At The End Of The Catcher. The Front Part Of The Pull-Off Rod Is Provided With A Weakening Groove Along The Circumferential Direction. A Rear Plug Cover Is Installed At The Tail Of The Launch Tube. The Tube Tail Is Provided With A Ground Ejection Power Source Interface, And The Ground Ejection Power Source Interface Is Connected With The Ground Ejection Power Source Through A Switch Valve. The Present Invention Provides A Low-Altitude Defense Measure For Public Areas Such As Airports, Large Conference Venues, And Sensitive Areas, And To A Certain Extent Solves The Threat Of Low, Slow, And Small Flying Objects Such As Unmanned Reconnaissance Aircraft; The Present Invention Uses Ground High-Pressure Gas Ejection And The Measures Of Throwing Nets At High Altitudes Are Used To Capture Drones, Which Are Clean, Safe And Pollution-Free.",Inner Mongolia Institute of power machinery,CN109579620A,2019/4/5 0:00,CN201811490388.2,2018/12/6 0:00,F41H11/02,F41H11/02; F42B12/68
3379,An Airborne Laser Weapon Integrating Offense And Defense,"The Invention Discloses An Airborne Laser Weapon Integrating Offense And Defense, Including A First Laser Cannon, A First Laser Radar, A Second Laser Radar, A Second Laser Cannon, A Third Laser Radar, A Third Laser Cannon, And A Fourth Laser Cannon , The Fourth Laser Radar, Anti-Laser Protective Coating, The Fifth Laser Cannon, The Fifth Laser Radar, The Controller, Through The First Laser Cannon To Strike The Target In The Area In Front Of The Fighter, The Second Laser Cannon To Strike The Target In The Left Area Of ??The Fighter, And The Third The Laser Cannon Strikes The Target In The Area Behind The Horizontal Stabilizer On The Left Side Of The Fighter, The Fourth Laser Cannon Strikes The Target In The Area Behind The Horizontal Stabilizer On The Right Side Of The Fighter, And The Fifth Laser Cannon Strikes The Target In The Area On The Right Of The Fighter, Which Can Do All-Round Defense Against The Fighter. Intercept Enemy Missiles And Strike Targets Accurately And Quickly; Apply An Anti-Laser Protective Coating Evenly On The Fighter Body To Prevent The Laser From Melting, Burning Or Detonating The Fighter, Which Will Effectively Resist The Enemy'S Laser Weapon Attack.",Hu Cheng,CN109708530A,2019/5/3 0:00,CN201910166079.8,2019/3/6 0:00,F41H13/00,F41H13/00
3460,Net-Catching Launching Device Of Unmanned Aerial Vehicle Airborne Platform,"A Netting And Launching Device For An Unmanned Aerial Vehicle Airborne Platform Relates To The Technical Field Of Aerial Security Of Unmanned Aerial Vehicles. It Includes An Outer Cover. A Netting System, A Pressurizing System, A Trigger System, A Power System And A Launch Control System Are Arranged In The Outer Cover; The Net Launching Device Realizes The Rotation Trigger Function, The Safety Lock Function, The Catching Net Launching Function, And The Pressurized Ejection Function. The Net Launching Device Is Small In Size And Can Be Used On Most Uav Platforms. The Consumer Drones And Other Flying Objects Implement Soft-Kill Capture Control, Which Is Light And Flexible, And Can Be Used For Low-Altitude Drones Soft-Kill Defense And Capture, Providing Technical Support For Public Management Departments And Security Law Enforcement Agencies.","Jiangsu jiushe Robot Technology Co., Ltd",CN110030879A,2019/7/19 0:00,CN201910447609.6,2019/5/27 0:00,F41H11/04,F41H11/04
3540,A High-Efficiency Drone Deception Blocking System,"The Invention Discloses A High-Efficiency Uav Deception Blocking System. The System Is Composed Of A Radar Detection System, A Back-End Management Early-Warning Equipment, A Control Center, And An Electromagnetic Interference System. The Radar Detection System, A Back-End Management Early-Warning Device, And The Control Center Electrical The Back-End Management Early Warning Equipment And The Control Center Are Electrically Connected To The Electromagnetic Interference System. The Electromagnetic Interference System Includes A Sight, A Gps Signal Transmitter And A Ground Signal Interference Transmitter. The High-Efficiency Uav Decoy Blocking System Provided By The Present Invention Can Accurately Allow The Drone To Land Autonomously At A Precise Location In A Real Gps Environment, The Landing Position Error Is Less Than 1 Meter, Will Not Cause Damage To Surrounding People Or Public Facilities, And Will Not Affect The Flight Of Legal Drones. In Addition, This Kind Of Reaction The Control Method Can Be Used Not Only For Civil Drone Countermeasures, But Also For Countermeasures Of Any Equipment That Requires Gps Positioning, And Has A Wide Range Of Applications.","Sichuan Yuyun Innovation Technology Co., Ltd",CN110360889A,2019/10/22 0:00,CN201910687818.8,2019/7/29 0:00,F41H11/02,F41H11/02
3570,Unmanned Aerial Vehicle Shooting Down System And Shooting Down Method Integrated In Smart Police Vehicle,"The Invention Discloses An Unmanned Aerial Vehicle Shooting Down System Integrated In A Smart Police Vehicle, Which Includes: Detection Equipment, Trace Identification Equipment, Countermeasure Equipment And Management Platform. The Management Platform Is Respectively Connected With The Detection Equipment, Trace Identification Equipment And Countermeasures. The Device Is Connected To Communication, And The Present Invention Also Provides A Drone Shooting Method Integrated In A Smart Police Vehicle. The Invention Provides A Drone Shooting Down System And Shooting Method Integrated In A Smart Police Vehicle. Through Multi-Sensor Fusion Equipment, Detection Equipment And Trace Identification Equipment Can Quickly Detect And Identify Illegal Drones, And Achieve Comparison Through Management Platforms. High Detection Capability And Low False Alarm Rate, Realizing Rapid Detection, Tracking, Jamming And Shooting Down Illegal Uav Equipment, Realizing Timely Early Warning, Monitoring, And Countermeasures Of Unmanned Aerial Vehicles In Key Protection Areas To Ensure The Scope Of The Area The Internal Security Can Be Easily Integrated Into The Existing Public Security Monitoring System.","Hanteng Automobile Co., Ltd",CN110487119A,2019/11/22 0:00,CN201910847364.6,2019/9/9 0:00,F41H11/02,F41H11/02; G01S13/88; G01S15/88; G01S17/88
3581,Highly Integrated Anti-Uav System And Method,"A Highly Integrated Anti-Uav System And Method Belongs To The Field Of Anti-Uav Technology. The Present Invention Overcomes The Problem Of Inconsistency Of Coordinate Systems Between Various Devices And The Problem Of Occlusion Between Devices, And Designs A Highly Integrated Vehicle-Mounted Vehicle That Integrates Command And Control, Radar, Photoelectric, Radio Detection, Suppression Interference And Navigation Decoy Equipment. /Fixed Anti-Uav Systems, Including Servo Turntables, Radar Equipment, Command And Control System Equipment, Radio Detection Equipment, Photoelectric Equipment, Navigation Decoy Equipment, And Interference Suppression Equipment. The Invention Has Many Advantages Such As Complete Functions, Small Size, Simple Operation, High Reliability And The Like.",China Academy of Aerospace Systems Science and Engineering,CN110530209A,2019/12/3 0:00,CN201910791683.X,2019/8/26 0:00,F41H11/02,F41H11/02
3604,A Micro Weapon System For Unmanned Aerial Vehicle With Integrated Functions Of Intelligent Observation And Shooting,"The Invention Relates To The Technical Field Of Weapon Systems, In Particular To A Micro Weapon System For Unmanned Aerial Vehicles With An Integrated Function Of Intelligent Detection And Attack, Including A Three-Degree-Of-Freedom Servo Turntable, A Launching Cabin, A Photoelectric Fire Control Device, A Landing Gear, And A Miniature Rocket. The Two Ends Of The Pitch Axis On The Three-Degree Servo Turntable Are Respectively Fixed With A Launching Cabin Through Flanges, And The Two Launching Cabins Are Symmetrically Arranged, And The Launching Cabins Are Filled With A Number Of Miniature Rockets. A Photoelectric Fire Control Device Is Hung On The Cantilever Of The Three-Degree-Of-Freedom Servo Turntable, And A Landing Gear Is Fixedly Installed On The Support Plate Of The Three-Degree-Of-Freedom Servo Turntable Through Screws. The Invention Has The Advantages Of Miniaturization, Light Weight, Low Cost, And High Carrying Capacity.","Beijing Hongda Hechuang Defense Technology Research Institute Co., Ltd; Beijing University of Technology",CN110631418A,2019/12/31 0:00,CN201910809809.1,2019/8/29 0:00,F41F1/00,F41F1/00; F42B10/08; B64C39/02; B64D7/08
3622,Fighter Missile Electromagnetic Gun,"A Fighter Missile Electromagnetic Gun, Which Is Composed Of A Fighter Plane, A Spiral Barrel, An Electromagnetic Driver, A Missile Firing Box, And A Pulley Missile. The Expanded Length Of The Spiral Barrel Is Longer Than The Existing Electromagnetic Gun. The Pulley Missile Passes Through The Longer Spiral Barrel. The Long-Term Relay Acceleration Of Multiple Electromagnetic Drives Realizes The Use Of Lithium Batteries To Increase The Speed Of The Pulley Missile To The Limit. The Electromagnetic Gun Of The Fighter Missile Is Small In Size, Light In Weight, And Large In Load. It Is Suitable For Being Equipped On The Fighter. The Camera Of The Pulley Missile Is Based On The Target. According To The Target¡¯S Heat Source Information, The Infrared Sensor Controls The Vertical Wing To Change The Left And Right Flight Direction Of The Missile According To The Target¡¯S Reflection Information, And Controls The Left And Right Horizontal Wing To Change The Up And Down Flight Direction Of The Missile To Make The Pulley The Missile Automatically Tracks And Strikes The Target. The Pulley Missile Has Large Mass, High Kinetic Energy Lethality, Strong Penetrating Power, High Hit Rate, And Can Be Launched Continuously. It Is Suitable For Striking Targets In The Air, Sea Or Land.",Zhu Musong,CN110686560A,2020/1/14 0:00,CN201911057436.3,2019/11/1 0:00,F41B6/00,F41B6/00
3708,A Method For Verifying Weapon Range And Accuracy By Calculating Launch Area,"The Present Invention Provides A Method For Verifying The Range And Accuracy Of A Weapon By Solving The Launch Area. The Specific Steps Of The Method Are As Follows: The First Step Is To Select The Location Of The Target Point, And Calculate The Location Of The Launch Point According To The Trajectory Model And Range Of A Certain Type Of Projectile Information; The Second Step Is To Load The Launch Point Information Into The Aircraft Display And Control System And Use It As The Theoretical Launch Point Of The Attack Route; The Third Step Is To Determine The Launch Conditions Of The Carrier, Including The Launch Height, Launch Speed, Carrier Attitude, And True Heading Angle, Launch Area, Etc.; In The Third And Fourth Steps, The Pilot Controls The Aircraft To Fly According To The Attack Route, And Performs Preparation Operations Such As Powering On The Missile When It Reaches The Launch Waiting Area Before The Launch Area; The Fifth Step, When It Reaches The Theoretical Launch Point, It Meets The Requirements After The Launch Conditions, Press The Launch Button According To The Prompts To Execute The Launch/Drop Of The Weapon. The Above-Mentioned Method Selects A Small Launch Site Area And A Controllable Weapon Range To Meet The Requirements For Testing The Range And Accuracy Of Nuclear Weapons.",Jiangxi Hongdu Aviation Industry Group,CN111043919A,2020/4/21 0:00,CN201911244024.0,2019/12/6 0:00,F42B35/00,F42B35/00; G06F30/15
3791,Explosion-Proof Drone Early Warning Deception Base Station,"The Application Relates To An Explosion-Proof Drone Early Warning Deception Base Station, Which Includes An Explosion-Proof Box, A Counter Component, An Antenna Component, A Connecting Wire And A Stuffing Box. The Lower End Of The Explosion-Proof Box Is Provided With An Outlet Hole, The Connecting Piece Is Installed At The Position Of The Outlet Hole, And The Stuffing Box Is Connected To The Connecting Piece. The Counter Component Is Fixedly Installed Inside The Explosion-Proof Box, And The Connecting Wire Passes Through The Outlet Hole And The Connecting Piece, And Is Electrically Connected To The Antenna Component. In This Way, A Closed Space Is Formed By The Explosion-Proof Box, The Counter Component Is Placed In The Explosion-Proof Box, And The Connecting Wire Is Connected To The Counter Component And Is Led Out Through The Stuffing Box To Connect With The External Antenna Component. The Explosion-Proof Drone Early Warning Decoy Base Station According To The Above-Mentioned Embodiments Of The Present Disclosure Can Meet Explosion-Proof Requirements, Is Suitable For Places With Explosion-Proof Requirements Such As The Petrochemical Industry, And Can Effectively Detect And Counter Drones.","Beijing rongdingsheng low altitude safety technology Co., Ltd",CN111397443A,2020/7/10 0:00,CN202010261266.7,2020/4/3 0:00,F41H11/02,F41H11/02
