title,type,content,keywords,author,time,url
United Airlines Forms Partnership with Archer to Purchase 200 eVTOL Aircraft,,"United Airlines and Archer Aviation announced a partnership that will leverage the international carrier's aviation experience for Archer＊s electric vertical take-off and landing (eVTOL) aircraft, United announced on Feb. 10. According to United, the partnership is part of the airline＊s effort to invest in emerging clean technologies. ""Part of how United will combat global warming is by embracing emerging technologies that decarbonize air travel,§ United CEO Scott Kirby said in a press statement. ※By working with Archer, United is showing the aviation industry that now is the time to embrace cleaner, more efficient modes of transportation. With the right technology, we can curb the impact aircraft have on the planet, but we have to identify the next generation of companies who will make this a reality early and find ways to help them get off the ground. Archer's eVTOL design, manufacturing model, and engineering expertise has the clear potential to change how people commute within major metropolitan cities all over the world.""In May 2020, Avionics International covered the emergence from stealth of Archer Aviation＊s California-based operations. The eVTOL aircraft Archer is developing has performance targets that include 60 miles of range with a 150 mph cruise speed.United and Mesa Airlines will also purchase 200 of Archer＊s eVTOL aircraft once operational, according to the release. This fleet of eVTOL aircraft will be operated by another partner and will connect customers to United＊s hub airports. The agreement includes the use of United＊s airspace management expertise in Archer＊s eVTOL aircraft. ""This deal represents so much more than just a commercial agreement for our aircraft, but rather the start of a relationship that we believe will accelerate our timeline to market as a result of United's strategic guidance around FAA certification, operations, and maintenance,§ Brett Adcock, co-CEO and co-Founder of Archer, said in a press statement. Archer＊s eVTOL aircraft is expected to be unveiled in 2021, begin production in 2023, and be available to the public in 2024. The aircraft is expected to be able to have a range of 60 miles.  ""The team at United share our vision of a more sustainable future,§ Adam Goldstein, co-CEO and co-Founder of Archer, said in a press statement. ※We're working closely with their test pilots and environmental teams to make sustainable urban air mobility a reality far sooner than people could ever imagine.""Archer also recently announced a partnership with Fiat Chrysler to utilize the companies low-cost supply chain to accelerate the production of Archer＊s eVTOL aircraft. ","air taxi, Archer Aviation, EVTOL, United Airlines",Kelsey Reichmann,11-Feb-21,
Joby Agrees to eVTOL Certification Requirements with FAA,,"Joby Aviation has agreed to G1 certification conditions with the Federal Aviation Administration (FAA) for its electric vertical take-off and landing (eVTOL) aircraft, the company announced on Feb. 9. The company also announced that it has achieved its next milestone in the Agility Prime program by beginning to generate revenue. The certification agreement between Joby and the FAA will lay out requirements for Joby＊s eVTOL aircraft to be certified for commercial operations marking a major step in the company＊s goal of operating aircraft in 2024. ※While we still have several years of aircraft testing ahead of us, we now have a clearly defined, and achievable, path to certifying our aircraft and introducing customer flights,§ JoeBen Bevirt, Founder and CEO of Joby Aviation, said in a press statement. ※Reaching this milestone is a watershed moment for our new industry and I＊m tremendously grateful for the many years of hard work the FAA and our in-house aviation safety experts have put into getting us to this point.§The aircraft will be certified using the FAA＊s Part 23 requirements with the special conditions listed in the G1 added to account for the unique nature of the aircraft. Details about the conditions within the G1 agreement have not been released and are expected to be published in the Federal Register in the next few months, according to the company. Joby＊s eVTOL aircraft was awarded military airworthiness approval in Dec. 2020 through the AFWERX Agility Prime program. ※The Agility Prime and Joby partnership is now on an accelerated path to identify the opportunities for early adoption of these aircraft for logistics that provide flexibility to operators and savings to taxpayers. We are also one step closer to the commercialization of a clean, quiet, modern, transportation system,§ Nathan P. Diller, AFWERX Agility Prime Director, said in a press statement. While Agility Prime is run through the Air Force, it is intended to mature technology for commercial use and allow the military to gain data and insights into the technology industry could have available to them. ※The Agility Prime program represents an invaluable opportunity to understand and accelerate the positive impact of clean, electric aircraft in the US and beyond,§ Bevirt said. ※With ten years of engineering and more than a 1,000 test flights behind us, we＊re excited to now be playing a key role in demonstrating the potential of this new sector while giving the U.S. Government a front row seat.§","EVTOL, eVTOL certification, FAA certification, Joby Aviation",Kelsey Reichmann,9-Feb-21,
Boeing Advanced Vertical Lift Chief Engineer Talks Next Generation Rotorcraft Capabilities,,"The North Atlantic Treaty Organization (NATO) will be focusing on cost, timeline, sustainment, interoperability, and regulatory approvals when developing the requirements for its Next Generation Rotorcraft Capabilities (NGRC). The shift in focus was influenced by collaboration with industry through the NATO Industry Advisory Group (NIAG).The NIAG is a high-level consultative body of senior industrialists from NATO allied and partner nations who advises NATO on key issues within the industrial and technological base.※What I think is unique about NIAG is that this is an opportunity for industry to get in the same room and collaborate on the future,§ Dan Newman, senior technical fellow and chief engineer for Phantom Works Advanced Vertical Lift at Boeing, said during the Royal Aeronautical Society＊s Next Generation Rotorcraft Conference on Jan. 20. ※At least in the U.S., when the military service does an integration, they talk to each of the industry representatives and then do the integration about what the future ought to be. But they are limited because they are talking to them individually and with proprietary interests at stake there is a challenge sharing any company's information with others.§The NGRC will replace an aging fleet of rotorcraft set to retire in the next 10 to 20 years.NIAG started completing study groups on NGRC capabilities in 2017 and has completed three looking at NGR capabilities, integrated sustainability, and innovated military aviation acquisition.The NIAG Study Group SG-219 focused on a concept of operations for equipment for NGRC. This group included 33 companies from 14 different countries. It was out of this group which the NIAG decided to focus on reducing life cycle costs, improving safety, and enhancing capabilities, interoperability, and sustainability, Newman said.※We were going to consider the issues common to all platforms because we were looking at replacing the entire fleet of 1,000 aircraft, perhaps up to 2,000, and we couldn't focus on any one mission,§ Newman said. ※So, what did we focus on? We focused on cost and schedule. We focused on operability. We focused on sustainment. And we focused on regulatory approval, and that was important because of the regulatory issues.§To achieve those goals, the NIAG suggested the NGR having a modular design with multiple levels of capability so different nations could procure the capabilities they required, Newman said. They also suggested rotorcraft be designed with condition-based operations (CBO) for dynamic planning purposes.※So not just a modular aircraft, but a modular design and development a modular acquisition process＃this modularity allows you to change the avionics and the mission equipment every five years, and not have to wait until a 20-year lifecycle upgrade,§ Newman said.Newman said they also focused on capabilities being qualified and certified from day one so NATO would have acquisition and operational freedoms.NIAG is suggesting the NATO NGRC move toward unmanned maintenance solutions to increased maintainability, Newman said. Reducing manned solutions can also reduce program costs and risks.※We've been moving toward unmanning the maintenance battalion, as opposed to just unmanned in the aircraft,§ Newman said. ※So, this unmanned needs to be extended expanded beyond takeoff through landing that needs to be include landing through takeoff.§Newman said NATO is also working on putting out requirements for NGRC that will include capabilities like speed, range, payload, and endurance while also taking into account the capabilities the NIAG is suggesting as well.※The goal was to move from speeches and briefings like this one to requirements documents because if it doesn't get into the requirements document, it will not be part of the system,§ Newman said. ＆Again, if it doesn't get into the requirements, no one will offer it. And so, speeches and articles are good, but the requirements are the pull and the draw.§","NATO, NGRC, NIAG, Rotorcraft",Kelsey Reichmann,21-Jan-21,
Agility Prime to Study the Use of Radar Developed for Cars in eVTOLs,,"The U.S. Air Force awarded a contract to study a radar sensing solution, the SPEKTRA radar, used by the automotive industry to see if it can be modified for electric vertical take-off and landing (eVTOL) operations in its Agility Prime program, the manufacturer of the radar, Metawave Corporation, announced in a Jan. 6 press release.Agility Prime is the U.S. Air Force's effort, along with numerous other federal agencies, to support booming commercial investment into eVTOLs. The SPEKTRA radar provides radar capabilities with accuracy out to 330 meters and is used in adaptive cruise control, lane change assist, and automated emergency braking in automobiles, according to the release.The SPEKTRA radar was developed by Metawave with the help of Rhea Space Activity (RSA) who suggested the radar as a good fit for the Agility Prime program while it was in the process of becoming commercially operational, according to the release.""Rapid technological innovation in the U.S. driverless car sector is also demonstrating remarkable compatibility with the high-performance requirements of many Department of Defense missions,"" Shawn Usman, astrophysicist and Founder of RSA said in a press statement. ""SPEKTRA in particular is versatile enough to support unmanned VTOL operations as well as fixed-wing flight. By guiding small yet highly innovative companies like Metawave through the complexities of programs such as AFWERX, RSA plays a crucial cooperative role in developing core technologies, like SPEKTRA, to push the boundaries of current consumer-facing innovations, while helping to solve critical national security issues.""Metawave is working with the Arizona State University Center for Wireless Information Systems and Computational Architectures in phase one of the contract, according to the release. During this phase, the radar will be modified for longer ranges and navigating three-dimensional space.If Metawave is granted a phase two contract, they would then conduct field tests with the equipment.""Both the automotive and eVTOL markets require the highest level of precision delivered by SPEKTRA,"" Maha Achour, CEO and founder of Metawave, said in a press statement. ""For both applications, the ability to reliably distinguish between several objects close together in all weather and light conditions is an important capability for all phases of transport, including flight. The most significant difference is the operational range of the radar.""","Agility Prime, EVTOL, Metawave, radar",Kelsey Reichmann,19-Jan-21,
Aerion to Equip AS2 Supersonic Business Jet with ClearVision HUD,,"ClearVision Enhanced Flight Vision System (EFVS) and complete Head-Up Display (HUD) will be used on Aerion AS2, the supersonic business jet from Aerion Supersonic, Universal Avionics (UA) announced in a Jan. 6 press release.The HUD and EFVS solution will use the SkyLens Head-Wearable Display (HWD).※By using the SkyLens as a wearable Head-Up Display, the ClearVision EFVS brings unprecedented capabilities to the airplane and demonstrates a compelling roadmap to the future, on top of the proven operational landing credit and all-weather operation,§ Dror Yahav, UA Chief Executive Officer, said in a press statement.The ClearVision system uses a Combined Vision System (CVS), EVS-5000 Enhanced Vision System camera, and 3D Synthetic Vision System (SVS) on the pilot and co-pilot HWD, according to the release. All of these features give the pilot and copilot 3D situational awareness of terrain using the 360-degree field of regard and the ability to overcome degraded visibility situations.Pictured here is a computer-generated concept image of Aerion's AS2, the supersonic business jet that the company hopes will begin flight testing in 2024. In February, Aerion also began initial concept development for the first in a family of rapidly developed high altitude supercruise aircraft for the U.S. Defense market. Photo: Aerion※With a proven track record of innovation, Universal Avionics has become the market leader in Head-Wearable Display systems and EVS sensors,§ Steve Berroth, Aerion＊s Chief Operating Officer and Executive Vice President of Aircraft Development, said in a press statement. ※This industry-leading technology will offer pilots of the AS2 unparalleled vision and enhanced situational awareness capabilities. We look forward to our continued collaboration as we seek to change the future of aviation together.§The FAA recently announced new rules for the authorization of supersonic test flights. These rules allow companies developing commercial supersonic aircraft, like the Aerion AS2, to conduct test flights in the U.S. bringing the possibility of civil supersonic travel closer to reality.","Aerion AS2, ClearVision EFVS, HUD, HWD, supersonic aircraft, Universal Avionics",Kelsey Reichmann,13-Jan-21,
"U.S., Europe Civil Aircraft Parts Tariff Battle Escalates",,"New tariffs on European Union (EU) aircraft manufacturing parts from the Office of the United States Trade Representative (USTR) that were announced last month are set to become effective on Jan. 12. The tariffs are just the latest escalation in the tit-for-tat tariff battle between U.S. and European regulatory officials over large civil aircraft subsidies involving aircraft manufacturers Airbus and Boeing.The new tariffs from the U.S. are in response to November tariffs from the EU and will affect EU fuselages and fuselage sections, wings and wing assemblies, and horizontal and vertical stabilizers. Airbus condemned the new tariffs.※USTR＊s expansion of tariffs to include components for aircraft manufactured in the U.S. 每 by American workers 每 is counterproductive in every way,§ a representative for Airbus said in an emailed statement to Avionics International. ※Airbus regrets that USTR has decided to escalate this dispute by taking a step that also hurts U.S. manufacturing, U.S. workers, and U.S. consumers. This will not contribute to a climate of trust to create a negotiated solution.§The dispute began in 2019 as a result of the World Trade Organization (WTO) Large Civil Aircraft litigation which involved EU subsides equaling $7.5 billion annually, according to the USTR. The U.S. determined they were denied rights under the WTO Agreement and placed additional duties on products from certain EU member states in Oct. 2019.The initial tariffs were then increased again by the U.S. in March and June 2020. The EU responded in Nov. 2020 imposing additional duties on U.S. large civil aircraft and other goods equaling a trade value of $4 billion.On Dec. 30, USTR published its response to the action taken by the EU in November, levying additional tariffs to aircraft parts manufactured in France and Germany.※The EU has represented that its retaliatory action mirrors the action taken by the United States in this investigation, but that is not accurate,§ the notice from the USTR said. ※Specifically, the EU＊s action does not mirror the U.S. action because the methodology used by the EU to exercise its $4 billion authorization relies on a benchmark reference period affected by the economic downturn caused by the COVID pandemic. Under this methodology, the EU was able to cover a greater volume of imports than if, like the United States, it had used data from a period when trade was not affected by the pandemic.§The USTR said their actions were not escalatory because the adjusted product coverage was less than the full amount of what would have been justified using the EU＊s chosen time period.However, Airbus disagreed and said in their statement that the new tariffs were unwarranted.※Airbus trusts that Europe will respond appropriately to defend its interests and the interests of all European companies and sectors, including Airbus, targeted by these unwarranted and counterproductive tariffs,§ Airbus said in an emailed statement.","Airbus, Boeing, European Union, Large Civil Aircraft legislation, tariffs, WTO",Kelsey Reichmann," January 5, 2021",
Fifth Generation Flight Test Demonstrates Military IoT with XQ-58A and gatewayONE Platform,,"The Air Force completed a flight test that demonstrated the ability of two fifth-generation aircraft and an unmanned combat aerial vehicle (UCAV) to communicate in their secure native languages without the need for legacy tactical data connections, according to a Dec. 9 U.S. Air Force press release. The test flight also marked the first time the XQ-58A Valkyrie, an unmanned combat aerial vehicle (UCAV), conducted a semi-autonomous flight with the F-35 and F-22.The success of the test flight is the next step toward an Air Force element of the military Internet of Things (IoT). The test flight occurred at Yuma Proving Ground in Arizona and involved an F-22 Raptor, F-35A Lightning II, and an attritableONE XQ-58A Valkyrie. The F-22 and F-35A communicated through gatewayONE, according to the release. ※The gatewayONE payload really showed what＊s possible and helped us take a big step towards achieving (Joint All-Domain Command and Control),§ Lt. Col. Eric Wright, a 59th Test and Evaluation Squadron F-35 pilot, said in a press statement. ※This critical capability provides additional connections between our advanced fighters and other forces and battle managers across all domains. The future is promising, and gatewayONE will allow the F-22 and F-35 to connect to and feed data sources they've never before accessed. Those future connections will bring additional battlefield awareness into the cockpit and enable integrated fires across U.S. forces.§GatewayONE allows battle managers on the ground and air to manage operations. Using this platform, the position data of each platform was pushed outside of the aircraft＊s close proximity formation, according to the release. The communication occurred not only between the ground and air but also between the aircraft. The success of the test flight is the next step toward a military Internet of Things (IoT). The test flight occurred at Yuma Proving Ground in Arizona and involved an F-22 Raptor, F-35A Lightning II, and an attritableONE XQ-58A Valkyrie. (Air Force)※If fifth-generation platforms are going to be quarterbacks of a joint-penetrating team, we have to be able to communicate with those quarterbacks in an operationally relevant manner and enable data sharing between them, to them, and from them. For years people said it couldn＊t be done. Today the team turned another page toward making the impossible possible,§ Preston Dunlap, Air and Space Force＊s chief architect, said in a press statement. ※In just 12 months, the team has opened the door to a world where we can put the power of an operations center into the cockpit at the tactical edge.§The XQ-58 Valkyrie completed the test flight alongside the F-22 and F-35, which was also the first semi-autonomous flight for the UCAV. However, while the gatewayONE payload was integrated on to the UCAV, the communications were lost shortly after takeoff. ※Testing is all about pushing the limits of what＊s possible, finding out where the toughest challenges are, and adapting creative solutions to overcoming difficult problem sets,§ Lt. Col. Kate Stowe, gatewayONE program manager at the Air Force Lifecycle Management Center, said in a press statement. ※The real win of the day was seeing the gatewayONE establish a secure two-way translational data path across multiple platforms and multiple domains. That＊s the stuff ABMS is all about.§","F-22, F-35A, IoT, XQ-58A Valkyrie",Kelsey Reichmann,21-Dec-20,
Development of Open Mission Systems Computer for U-2 Continues with Latest Kubernetes Demonstration,,"Last month, Lockheed Martin demonstrated distributed processing using Kubernetes aboard the U.S. Air Force U-2 reconnaissance aircraft, as the company continues to develop a U-2 Open Mission Systems (OMS) computer, the company said on Dec. 14.※The demonstration is a critical steppingstone toward creating a DevSecOps [development, security, and operations] environment to enable the delivery of enhanced software capability to airborne assets in real-time,§ the company said.※The U-2 flew a Kubernetes cloud that connected in-flight to a ground node, extending the U-2＊s network-of-networks connectivity,§ per Lockheed Martin. ※Air Force OMS-compliant datalink gateway software services onboard the U-2 and in the ground node within the Kubernetes cloud disseminated sensor data, dynamically bridging datalinks across assets. This distributed processing approach allows the cloud computing technology to scale up for advanced mission processing based on the unique needs of the battlespace.§Jeff Babione, vice president and general manager of Lockheed Martin Skunk Works, said in a statement that the demonstration ※not only advances the deployment pipeline for in-flight software upgrades but also operationally extends the computational resources for mission execution§ and that ※this additional capability makes it possible for the warfighter to quickly adapt to changing threat environments without costly or time-consuming system upgrades.§In April, Lockheed Martin received a $50 million contract to give the U-2 an upgraded avionics system, Avionics Tech Refresh (ATR), which uses OMS. This upgrade will be completed and tested in 2022.The Kubernetes cloud configuration, demonstrated during the OpenAirKube demo in late August, ※was flown on the U-2 via an Enterprise Open System Architecture Mission Computer (EMC2),§ Lockheed Martin said. EMC2 is to be a stepping stone toward the U-2＊s OMS computer.Nicholas Chaillan, Air Force＊s first Chief Software Officer since 2018, has said that before he helped establish the DoD DevSecOps reference design, the Pentagon had been using ※Waterfall§ software methodologies that led to the slow fielding of software每once every three to 10 years.In October, Air Force acquisition chief Will Roper said that the service had, for the first time, updated software code on a U-2 in flight.The two in-flight software updates involved a ※docker containment generating log files§ and ※improved target recognition algorithms,§ Roper said.The U-2 Federal Laboratory at Beale AFB, Calif., used a Sandia Labs Electro Optical/Infrared (EO/IR) Automatic Target Recognition software package for the U-2＊s EO/IR sensor during the flight, the Air Force said. Because of the ※docker containment,§ the EO/IR software could not affect other software on the plane during the flight.The Air Force＊s Air Combat Command (ACC) at Langley AFB, Va., has been testing a Zero Trust Architecture (ZTA) that uses open-source container-orchestration systems, such as the Cloud Native Computing Foundation＊s (CNCF) Kubernetes, originally designed by Google, for improving cybersecurity through the automation of computer application deployment, scaling, and management.This article was first published in Defense Daily, a sister publication to Avionics International, check out the full story here.","Kubernetes, Lockheed Martin, U-2",Frank Wolfe,15-Dec-20,
First Military eVTOL Airworthiness Awarded to Joby Aviation,,"Joby Aviation received the first military airworthiness approval for an electric vertical take-off and landing (eVTOL) vehicle from the AFWERX Agility Prime program, Will Roper, Air Force and Space Force acquisition technology and logistics chief, announced during the AFWERX Accelerate webinar on Dec. 10. Joby Aviation and Beta Technologies also publicly confirmed for the first time that they broke ground on charging and simulator stations at Springfield Airport in Ohio during the webinar.※This is an exciting announcement because it means you are literally seeing a new market emerge,§ Roper said. ※This is exactly the type of public-private partnership innovation the Air Force and Space Force want to be a part of. We want to make amazing things happen, not just for the military, but for the world. We are excited to see what's to come for Joby and other companies pushing the boundaries of electric vertical takeoff and landing or flying cars.§In February Agility Prime launched its Air Race with three different categories of technical requirements for certification, Col. Nathan Diller, AFWERX Director, said. The three categories are broken down by payload, range, speed, and endurance.※We have three areas of interest in which we want to tailor or kind of segment the market, you'll find that we have the 3-8-passenger, your 1-2-passenger, which is like your trainer, and then your third, which is your cargo only,§ Natasha Tolentino, program manager for Agility Prime, said.Joby Aviation and Beta Technologies matured their technologies and were able to move forward in the Air Race. Both companies then proceeded to work with the Air Force airworthiness authority to create a plan for airworthiness assessments and military flight releases, Diller said.The Agility Prime program provided access to facilities, resources, and equipment for prototype testing, JoeBen Bevirt, CEO of Joby Aviation, said. He said during the testing they worked on reducing the quality and tone of the noise the aircraft makes so it would be less intrusive.※Our target is really to have these aircraft be a mainstay of daily mobility and that means that they have to blend into our environments,§ Bevirt said. ※So that's kind of a foundational thesis of our aircraft design and one of the beauties of electric propulsion.§During the webinar, Joby Aviation and Beta Technologies broke ground on simulator stations and a charging station for Beta Technologies at the Springfield airport in Ohio. The simulators will give pilots an opportunity to experience flying these next-generation aircraft, Bevirt said.The ground breaking ceremony for Beta Technologies and Joby Aviation occurred virtually during the AFWERX Agility Prime webinar.Brig. Gen. Heather L. Pringle, Commander of the Air Force Research Laboratory (AFRL), also announced a partnership with the Ohio Department of Transportation, Ohio unmanned aerial systems (UAS) group, and AFRL to field and operate a ground-based detect and avoid system at the Springfield Beckley Municipal Airport.※The system is SkyVision, and it will meet research and development requirements for unmanned aerial vehicles operating beyond visual line of sight in the national aerospace system,§ Pringle said. ※SkyVision helps us accelerate innovation for the state and for the nation. For the warfighter, SkyVision enables AFRL to develop and field innovative unmanned aerial solutions to meet warfighter requirements faster and more cost-effectively.§Joby Aviation also announced a $75 million investment by Uber that included the acquisition of Uber Elevate this week.","AFWERX, Agility Prime, air taxi, airworthiness, EVTOL, Joby Aviation", Kelsey Reichmann,10-Dec-20,
Vesper Military Drone Now Available to Commercial Operators,,"The military-grade unmanned aerial vehicle (UAV) used by the Department of Defense (DoD) and other U.S. federal agencies, Vesper, and its Vision Ground Control Station (GCS) will become available to commercial customers for the first time, Vantage Robotics, the UAV＊s manufacturer announced on Dec. 8. Vesper has capabilities like stealth and low-light cameras, endurance, portability, and a modular design.※We＊re incredibly proud to introduce Vesper, our elite small EO/IR drone with unequaled endurance, zoom, stealth, and low-light capabilities,§ Tobin Fisher, Vantage's CEO and co-founder, told Avionics International in an email. ※After years of development and rigorous testing by the U.S. Department of Defense, Vesper is now ready for the most challenging reconnaissance missions. We look forward to significantly increasing capabilities for our U.S. government customers as well as select first responders, security, and inspections customers.§Some of the commercial or civilian uses envisioned by Vantage for Vesper include facilities management, inspections of secure infrastructures, private security, wildlife management, oceanographic research and law enforcement. Vesper will become available for commercial purchase on Jan. 15, 2021.Vesper can fly in low light at less than 0.01 lx illumination and uses a 3-axis stabilized tri-sensor payload for stable video with an 18x combined optical and digital zoom, according to Vantage.According to Vantage, the Vesper has a flight time of 50 minutes and is able to reach speeds up to 45 mph and becomes unseen as well as inaudible at 50 meters. The gimbal can be swapped, and it also features two battery and rotor set options.Operators control the drone using a 7-inch 1080p daylight viewable screen that has a four-hour battery life.Through its partnership with the DoD＊s Defense Innovation Unit (DIU) Blue sUAS Project, the Vesper was approved to fly in national and DoD airspace, according to Vantage. DoD secure user authentication, AES-256 encryption on communications and stored data, and bonded construction to prevent tampering are among the security features implemented into its systems architecture.※Following months of cyber penetration testing and supply chain analysis, the US. Air Force granted Vesper and Vision GCS an ATO (Authority to Operate), further supported by redundant testing conducted by the Department of Defense＊s Digital Defense Service,§ Vantage said in a press statement.","Air Force, DoD, UAV, unmanned aircraft systems, Vantage Robotics, Vesper", Kelsey Reichmann,8-Dec-20,
US Air Force proves it can transport a ＆flying car＊ on a C-130. Now for the fun part.,,"U.S. airmen from the 79th Rescue Squadron and the 571st Mobility Support Advisory Squadron push a Lift Aircraft eVTOL platform onto a C-130J Super Hercules from Davis-Monthan Air Force Base, Ariz., at the Springfield-Beckley Municipal Airport in Ohio on March 23, 2021. (Wesley Farnsworth/U.S. Air Force)WASHINGTON 〞 The U.S. Air Force will begin testing in May whether it can use one of the ※flying cars§ under development for the commercial market for military missions, including rescuing troops, delivering cargo and conducting security checks over an airfield.But first the service had to answer a simpler question: Could one of these electric vertical-takeoff-and-landing (eVTOL) aircraft fit into a military cargo plane and safely be transported?The Air Force attempted to prove that during a demonstration held March 23-24, when the 355th Wing from Davis-Monthan Air Force Base in Arizona successfully used an HC-130J Combat King II to move Lift Aircraft＊s Hexa platform from Springfield-Beckley Municipal Airport in Ohio to Austin-Bergstrom International Airport in Texas.The demo was part of the service＊s Agility Prime effort, through which the Air Force hopes to accelerate the development of eVTOL technologies and ensure the U.S. military retains access to them.※We＊re trying to take acquisition and do it differently,§ said James Bieryla, the division chief responsible for Agility Prime at the service＊s AFWERX innovation cell.※Instead of putting a very rigid set of requirements on a company, we＊re almost doing the opposite. We＊re saying: ＆You know what, why don＊t you show us what you can do?＊ We say that to perhaps a dozen companies. ＃ We help usher them through and accelerate them,§ he said. ※And on the back end, hopefully what happens is we end up with 12 or more commercially viable, successful companies, many of whom will have military utility in lots of different areas.§The Air Force kicked off Agility Prime in February 2020 and since then has identified six companies as potential partners, according to Air Force Magazine: Phenix Solutions, Joby Aviation, Elroy Air, Moog, Beta Technologies and Lift Aircraft. In December, Joby＊s S4 aircraft was the first eVTOL design to receive airworthiness approval from the service.The end goal is to transition eVTOL technologies into a program of record by 2023, Bieryla said.※That is a very aggressive goal,§ he noted. ※This demonstration here in May is going to be great for us to actually get a firsthand look right from operators into the technology.§Handling HexaLast week＊s demonstration was accomplished with little fanfare and no significant challenges, officials from the Air Force and Lift Aircraft told Defense News on March 26.Matt Chasen, Lift Aircraft CEO, pilots the eVTOL Hexa over Camp Mabry, Texas, on Aug. 20, 2020. (Staff. Sgt. Sean Kornegay/Air National Guard)Matt Chasen, Lift Aircraft CEO, pilots the eVTOL Hexa over Camp Mabry, Texas, on Aug. 20, 2020. (Staff. Sgt. Sean Kornegay/Air National Guard)The Hexa aircraft is comprised of an egg-shaped fuselage positioned on four perimeter floats, which allow it to land on water. On top sits a web of 18 electric motors arranged in a hexagonal pattern similar to that of honeycomb.To package Hexa for transit, Lift Aircraft separated the motors and some additional hardware, and folded down the beams that connect the motors to the aircraft＊s fuselage, said Jace McCown, the firm＊s flight development engineer and chief pilot.Once the Hexa was compressed and safely stored with all of its support equipment, Air Force personnel tested out how to load it onto the C-130, eventually choosing to use the aircraft＊s ramp system to push it into the cargo bay, said Tech Sgt. Joseph Wruck, who helped support the load tests as part of the 571st Mobility Support Advisory Squadron.The process of loading the Hexa and support equipment took about 45 minutes, but that timeline could probably be condensed into 15 minutes, Wruck said. And while only one Hexa aircraft was transported during the demonstration, Wruck estimated that a C-130H could carry up to four Hexa platforms, with newer C-130J models potentially able to transport five or six at a time.Finally, the HC-130J took off, flying the Hexa stored inside its cargo bay from Ohio to Texas.Rescuing RandyIn May, the Air Force will repeat the process as part of Exercise Bushwhacker, when the 355th Wing simulates rescue and attack missions in austere environments.VTOL platforms with quiet electric engines and simple sustainment footprints could become key to the Air Force as it figures out how to operate away from large airfields, a concept known as agile combat employment, or ACE.Should the U.S. go to war against Russia or China, the service predicts its main operating bases in Europe or the Asia-Pacific region could be temporarily or permanently knocked out by enemy fire. In response, the Air Force hopes to shift to a more disaggregated style of fighting, where discrete packages of aircraft are temporarily deployed to smaller airfields across the globe that may not have large runways or established amenities.Electric VTOL aircraft capable of landing without a runway could be used to ferry troops and supplies needed to stand up operations, while also providing a platform for crisis response.During Exercise Bushwhacker, airmen will practice transporting, unloading and reassembling the Hexa 〞 a process that should take about two to three hours, according to McCown.Airmen load a trailer with pieces of a Lift Aircraft eVTOL aircraft at Austin-Bergstrom International Airport, Texas, on March 24, 2021. airmen from the 355th Wing are evaluating how eVTOL capabilities may be integrated into Davis-Monthan Air Force Base＊s rescue and attack missions. (Senior Airman Jacob T. Stephens/U.S. Air Force)Airmen load a trailer with pieces of a Lift Aircraft eVTOL aircraft at Austin-Bergstrom International Airport, Texas, on March 24, 2021. airmen from the 355th Wing are evaluating how eVTOL capabilities may be integrated into Davis-Monthan Air Force Base＊s rescue and attack missions. (Senior Airman Jacob T. Stephens/U.S. Air Force)From there, Hexa will be put through its paces in a number of scenarios, such as delivering supplies or rescuing a stranded troop on the ground, said Maj. Brennan Gallagher, 563rd Rescue Group＊s chief of weapons and tactics and the lead planner for 355th Wing＊s Agility Prime integration.※If someone has a single engine failure outside the wire and then needs to get picked up, instead of risking a convoy going out, we could send one of these Lift Hexas out there,§ he said. ※Hexa would fly to those coordinates, land, pick up someone. In this case, we＊re looking to use a crash dummy, which we call Rescue Randy.§Right now, Hexa＊s abilities are limited and geared toward the commercial recreation market. The aircraft has room for one person and can fly for about 10-15 minutes, depending on the payload. A person can learn to fly Hexa quickly because many of the flight systems are automated, but Lift plans to develop a fully automated version, McCown said.In the future, the platform could potentially serve as an armed overwatch aircraft to protect ground troops, Gallagher said.However, there are still missions that the aircraft could be suited for in its current configuration. For instance, while Hexa can＊t carry as much weight as required to satisfy certain logistics missions, it could transfer smaller cargo or serve as a vehicle that allows security forces to assess the status of an airfield, said Lt. Col. Shane Hughes, commander of the 621st Contingency Response Support Squadron.※It can zip around the airfield really quick with our security forces specialists; they can do a quick assessment and then that saves them a significant amount of time,§ he said.McCown added that Lift is open to incorporating military users＊ feedback into future iterations of the aircraft.※There＊s a lot of potential with this airframe, and we＊re currently working through AFWERX to kind of explore the next level of what is possible with this,§ he said. ※We＊re currently executing flight tests out in Ohio under a [Small Business Innovation Research Phase II contract], and we are exploring the next steps with the Air Force right now as far as what kind of support [is needed] to get us to reach some of those longer-term goals that the operators have.§By being involved in the development of eVTOL platforms at an early stage, the Air Force hopes to steer the evolution of the technology into a form that it can use.※We certainly understand that this is not the final configuration right now,§ Bieryla said. ※We＊re working forward. We＊re going to keep developing, we＊re going to keep coming up with improvements. But ＃ if we can get early operator involvement in this technology, it helps everybody.§",,Valerie Insinna ,2021/3/31,https://www.defensenews.com/air/2021/03/31/us-air-force-proves-it-can-transport-a-flying-car-on-a-c-130-now-for-the-fun-part/
